followers,post_type,hashtags_count,caption_length,likes,comments,shares,saves,posting_day,posting_hour,predicted_reach
54016,2,18,466,1617,124,214,924,3,1,24985
49730,1,17,242,6536,245,1008,1770,2,22,107015
4850,0,5,363,87,9,28,16,5,9,1487
10814,2,23,342,554,47,147,116,4,10,9079
5868,1,18,448,293,13,57,155,2,6,8074
5528,0,9,384,165,5,60,58,1,4,1610
1063,1,23,301,141,4,30,29,5,3,835
14607,3,7,354,649,49,237,200,1,5,3445
10977,1,20,673,497,47,66,195,5,1,5178
1292,1,23,437,129,5,44,71,5,1,1733
5399,1,5,666,715,35,56,325,6,15,6340
36332,0,20,139,1474,87,351,338,2,22,32423
4607,1,24,150,573,28,115,126,4,22,8088
2847,1,29,424,159,10,36,54,6,12,4582
10584,0,6,102,782,62,188,141,4,20,14266
64160,2,23,635,4101,375,786,2096,0,6,47846
4657,1,0,293,361,42,135,122,4,4,3501
17227,2,26,965,2212,251,813,687,3,16,25691
22008,2,17,932,1155,93,419,452,2,12,28105
4569,0,23,664,188,18,69,91,1,14,3959
20041,1,27,232,2388,276,747,1004,4,2,28543
7377,1,24,753,542,20,201,289,1,22,8679
15507,2,19,472,566,17,193,254,0,3,5977
15557,0,11,554,718,23,143,378,2,14,14539
12010,1,15,285,668,53,207,322,4,17,14956
1919,1,9,691,231,22,80,54,6,2,2354
27554,1,26,149,4984,314,1439,844,1,6,54375
6302,0,9,366,243,19,49,141,6,7,4270
3596,1,13,722,250,19,23,150,5,10,3533
1124,2,24,32,40,1,12,19,6,21,974
13906,1,19,977,420,24,151,208,4,8,13850
17477,1,9,745,3194,101,586,879,0,19,36594
750,1,9,889,52,2,6,21,6,11,779
11264,2,25,279,626,64,108,392,5,4,5503
4352,0,24,868,346,36,86,193,1,0,2223
16041,2,10,674,1898,193,322,554,1,13,23845
3374,1,22,342,438,41,113,127,2,2,5663
18113,1,1,94,2147,217,783,813,6,14,48601
7834,0,24,630,349,31,96,118,6,9,3362
41905,0,19,40,3700,334,680,1200,2,9,35512
2719,1,7,750,238,21,84,106,1,23,2745
6756,1,29,249,579,44,141,86,5,2,4843
2306,2,22,899,55,3,6,28,6,5,738
39292,0,28,372,764,73,171,384,2,4,9983
31975,1,30,831,3492,198,946,1912,1,23,47948
4974,1,6,398,856,67,279,473,5,18,18370
16681,0,7,662,1388,95,494,581,3,13,21050
25992,0,0,677,1340,73,228,700,4,16,7454
12651,1,20,308,1686,198,205,646,6,11,28723
11814,1,1,866,2015,107,195,1221,3,8,29589
4653,1,17,380,455,26,134,107,3,2,6120
1965,1,14,108,207,9,64,121,4,17,5818
34626,1,0,56,3341,347,660,900,1,3,18210
35101,0,4,848,1635,135,316,317,1,13,12793
15540,1,1,431,2608,222,942,932,2,23,31523
6710,3,19,489,157,16,54,69,0,5,1856
6943,1,2,588,1034,62,149,264,1,14,10468
19916,1,18,71,924,43,285,382,4,16,30731
34611,1,17,118,4702,225,1231,2523,0,23,97750
33216,2,28,688,1812,173,219,487,4,4,16670
23203,2,21,558,2176,185,396,927,4,5,18389
15909,1,17,128,1748,84,224,539,4,20,52667
1818,3,13,607,78,3,12,31,6,4,408
3144,0,29,391,218,8,56,102,6,18,3262
34823,0,23,401,1134,98,212,356,0,13,27306
14487,2,7,986,1329,39,256,833,3,3,8368
638,2,28,61,35,1,8,14,6,4,359
2104,0,29,612,94,6,9,51,5,10,1116
16837,1,11,298,1674,154,496,830,4,1,22268
576,0,20,346,28,2,5,15,6,21,760
3129,1,9,819,403,27,88,92,2,1,3418
12435,2,22,213,1133,104,416,285,1,19,20444
18159,1,19,889,1105,84,197,420,5,11,15802
16331,1,16,247,1279,150,344,713,1,15,26340
4309,1,10,391,827,36,159,198,1,16,9179
19181,0,1,676,1020,85,350,628,0,3,4178
4562,1,25,761,619,45,203,127,2,13,8715
6404,1,25,145,495,23,73,113,2,6,7525
21085,3,3,416,389,37,109,87,5,14,7932
16231,2,0,517,1609,88,152,689,2,15,14716
28879,0,14,371,1217,78,442,717,2,7,29194
16577,2,12,390,582,37,104,155,2,1,7378
13100,2,7,890,741,38,240,305,5,18,9358
1975,2,24,585,218,14,37,50,3,0,2626
7376,1,3,644,588,42,155,265,2,22,9039
5122,1,9,263,557,54,206,113,6,3,6514
4695,1,18,486,261,25,88,99,2,23,5838
54684,0,17,123,2410,106,296,1114,0,20,45399
7990,0,4,29,382,31,91,162,0,21,3433
33890,0,29,537,741,81,133,157,6,10,20116
15460,1,18,154,1032,41,211,229,2,9,30042
24257,2,25,217,2538,184,445,1193,3,17,45960
10976,1,22,540,705,68,123,378,2,0,18289
13402,0,26,385,468,39,111,273,6,16,10246
10674,3,21,513,418,16,55,225,2,15,7587
3758,2,15,913,197,12,46,121,2,11,4049
19726,2,0,175,1173,88,186,401,4,15,13751
5443,3,11,559,158,18,25,48,3,8,2958
869,1,23,190,90,4,26,14,1,16,1278
16054,3,1,870,516,61,43,187,6,2,2707
3424,0,20,626,131,8,24,60,2,17,2009
42816,1,24,621,2450,117,483,1323,6,14,71479
46663,0,7,611,2304,154,508,631,1,14,28032
37452,0,17,936,3123,266,861,1229,3,15,25413
7434,0,24,821,293,14,54,136,6,19,6166
733,1,15,453,86,4,11,35,2,0,1379
40032,2,4,341,3437,367,1170,952,1,0,33763
8884,1,25,512,1650,197,609,876,6,3,19398
51512,0,29,922,2481,145,200,566,5,12,25998
50206,2,21,88,2543,110,607,1484,1,3,28035
29260,1,12,594,2321,235,412,1408,3,22,48482
5731,1,18,944,510,42,80,164,2,7,9650
7794,1,28,947,588,22,103,192,4,12,11773
29070,1,2,697,1704,196,454,860,3,23,19704
6217,1,25,405,764,28,101,279,4,7,13585
3285,2,7,617,87,7,30,13,2,13,1584
12706,1,26,866,899,61,193,531,1,0,11345
41769,1,25,112,3776,302,652,1334,5,8,72973
18362,2,25,411,1027,50,312,249,5,23,13373
13161,2,30,984,1759,161,140,728,6,0,20570
2033,0,11,233,152,17,31,38,3,6,2287
14817,0,1,527,552,39,100,134,3,19,11752
69658,0,10,643,2618,201,461,1071,3,12,54896
2763,1,11,245,216,11,38,72,0,14,5055
11457,1,27,436,1899,209,160,802,5,8,30405
31979,0,17,125,779,91,93,489,5,15,19554
20750,3,12,172,831,83,97,466,2,16,10555
18411,1,4,235,3386,266,1258,500,0,8,47350
18684,0,21,239,707,82,57,119,3,5,9867
7182,1,11,191,837,36,104,368,3,19,18571
5713,1,1,258,167,12,61,74,4,11,4640
25360,0,30,327,1697,133,447,968,6,15,22932
25419,1,4,974,1392,103,292,626,0,20,21559
30769,2,6,219,1954,199,192,497,6,14,36530
37169,1,25,665,2206,199,608,819,1,6,32320
11241,1,25,401,1838,76,213,987,6,9,40332
10942,1,23,866,1077,65,297,638,5,3,11309
24514,0,11,105,544,32,200,140,2,23,18520
16245,0,15,903,858,69,201,348,1,2,5414
18658,1,22,867,1810,101,251,400,1,17,13796
24329,0,7,765,1541,62,404,594,2,0,11814
33609,0,29,95,1700,151,389,319,3,12,24972
6687,2,27,424,467,49,109,280,5,21,10110
7564,3,8,403,162,18,35,73,4,17,3651
1980,2,14,705,39,4,10,21,3,7,1322
13451,2,4,642,1172,117,288,737,6,10,13760
1049,0,12,853,38,1,14,8,3,9,627
9899,3,4,510,201,21,64,96,0,3,1832
12234,0,10,613,329,21,50,189,1,3,3281
5564,3,9,591,123,11,36,52,1,3,1582
13904,3,19,925,529,41,73,240,5,11,4940
964,2,12,142,59,6,18,20,6,7,1383
1070,3,8,800,24,1,2,11,1,12,550
26440,1,20,658,4579,162,993,1539,4,7,71035
7198,1,13,323,959,76,299,360,4,20,32675
2538,1,17,708,157,7,24,30,6,2,1527
11579,1,14,230,979,114,319,144,4,11,24281
22544,0,9,985,1555,120,417,265,2,17,9997
4146,1,23,447,187,14,36,44,6,14,5092
15128,3,30,55,264,29,53,96,5,13,8773
1838,0,6,799,45,3,15,6,4,8,1143
1295,2,7,201,90,5,12,19,0,4,582
11868,2,27,529,504,28,142,263,0,14,10791
12168,2,2,388,1316,98,377,676,3,7,16091
15718,3,30,797,240,25,84,126,3,22,5102
19924,1,14,700,1914,194,553,1132,5,2,24478
56353,3,15,343,1470,171,368,296,6,11,30785
11394,2,3,48,518,18,179,115,3,4,3950
6350,0,20,302,444,24,143,135,3,8,7320
24284,1,5,699,1576,58,457,927,0,19,34295
5237,2,0,171,473,46,40,246,3,2,3539
9169,0,3,340,422,18,78,127,0,22,4062
1725,1,10,895,153,5,40,28,4,7,2034
885,1,11,113,121,9,28,53,4,20,4781
49810,0,25,170,1974,132,337,530,5,12,37853
27616,1,28,808,1313,123,155,528,2,7,32362
18359,2,4,644,2011,148,484,1210,3,4,14792
8387,1,22,63,1001,68,160,422,4,6,16374
3354,0,28,949,197,13,28,116,4,4,1548
3051,0,20,43,202,21,39,67,6,8,2423
4820,1,15,251,397,26,123,179,5,4,5314
12451,2,12,976,818,49,181,473,1,7,9662
19307,0,12,899,663,40,92,284,1,11,6633
16690,1,16,122,1712,81,188,758,5,3,15788
5426,0,26,327,350,37,78,172,0,8,4814
46971,1,6,32,5686,245,1781,3256,2,21,93092
20585,2,7,567,1484,165,401,277,6,21,22655
12623,2,12,833,359,19,51,110,6,13,6522
14690,0,22,656,618,68,127,208,5,18,9805
8660,1,26,127,672,67,222,393,1,12,16708
4769,0,15,994,204,16,26,124,2,2,1696
7100,1,29,710,278,25,65,56,4,3,2818
21772,1,28,652,3662,217,666,739,5,0,25433
717,0,30,943,40,3,4,23,0,21,568
2350,1,3,221,386,21,34,111,2,0,4708
1206,1,7,427,78,5,18,20,1,10,988
1123,2,15,122,79,7,6,12,4,15,1185
29513,3,30,53,717,37,76,199,5,3,7424
18743,0,20,137,1155,121,207,555,6,6,21106
10141,2,9,885,590,37,51,207,3,11,6817
2044,1,24,167,151,11,29,59,6,5,1504
10647,1,11,794,1353,155,154,798,6,23,16319
10121,2,11,836,370,33,66,73,4,19,7798
3352,2,25,403,177,15,55,31,1,8,2483
9033,3,4,876,376,35,98,209,5,7,3217
8125,1,15,861,416,46,86,216,1,13,8958
14850,1,0,521,920,48,94,250,3,14,16273
15621,2,27,923,706,60,184,212,6,20,12937
1195,1,8,54,123,8,15,36,4,21,3716
7540,1,11,117,458,14,44,210,2,4,5864
15246,1,4,228,2145,88,588,372,2,14,34566
10991,1,21,452,513,30,178,195,4,5,6959
29620,0,19,839,592,47,126,123,2,0,10662
16624,0,21,324,1200,131,104,650,6,19,18248
3167,2,27,186,224,22,75,73,5,8,3824
1597,0,23,237,125,9,11,50,4,3,697
15925,1,2,712,930,34,311,147,4,1,6857
903,0,4,992,42,2,8,7,1,5,213
13720,0,1,681,382,24,70,180,0,1,2405
42758,0,13,915,1463,125,347,755,1,2,10517
13351,0,1,276,917,32,332,448,2,6,12274
7869,2,12,879,594,46,204,298,0,19,11486
15962,1,6,847,879,97,189,171,4,16,11713
9694,3,9,388,362,33,102,174,2,8,6508
12332,1,12,498,1555,158,387,361,3,21,42239
43071,1,15,711,2488,227,704,476,2,8,56552
7818,1,25,696,341,16,110,174,0,18,8834
49236,1,13,299,6106,243,521,3518,0,4,53924
35863,2,10,366,3165,331,546,1558,4,5,26283
3768,1,9,666,638,59,231,341,5,17,8398
1578,1,5,753,273,22,98,170,3,0,3411
2093,2,3,881,118,5,9,24,4,16,748
775,2,20,959,28,2,3,17,3,13,716
1988,2,0,213,86,2,32,37,3,14,1640
17733,1,6,222,743,30,165,400,4,4,10194
1607,2,23,561,167,9,41,76,6,16,2691
6262,1,8,796,735,51,91,309,2,20,12951
28452,1,7,332,3370,137,1156,1637,1,20,78866
853,0,4,603,48,1,6,14,3,22,451
25767,1,18,190,2834,270,373,1681,6,22,69351
5466,0,9,508,414,33,59,82,0,10,3772
2386,1,10,329,127,9,44,37,4,9,3535
18397,2,24,92,1552,109,443,246,5,16,19531
15370,0,14,312,743,87,227,204,6,0,15266
31991,0,5,271,698,24,131,174,2,4,8690
20424,0,14,793,983,45,341,165,6,15,13481
24904,2,4,209,2517,222,784,964,3,6,36699
5470,1,28,249,339,14,101,126,5,11,6026
3429,1,18,923,189,15,69,34,6,7,4975
21331,2,21,701,1387,112,256,376,2,17,17324
25163,2,18,953,1405,164,362,853,6,0,23205
70355,1,9,692,7440,814,2588,1471,4,19,204621
8481,1,11,304,547,62,170,159,5,11,9104
7478,2,21,521,273,10,66,44,0,3,2263
22969,1,3,698,1983,214,194,429,3,11,14118
6751,0,30,890,144,5,38,69,3,21,5224
40552,2,17,405,977,84,227,314,5,0,22283
29822,1,15,758,4309,408,561,1567,2,0,51674
8905,1,7,147,923,41,313,203,4,2,9114
21346,1,3,848,1669,145,297,793,6,20,28679
21569,0,24,887,409,14,78,208,6,11,9159
2132,0,22,832,90,5,24,20,1,21,1523
35426,2,11,138,3776,426,836,626,3,20,55236
11055,0,1,58,659,29,67,120,6,12,6976
26769,1,3,685,2886,103,551,1337,0,12,43736
6286,1,4,798,549,38,56,115,3,20,9663
34381,0,2,302,861,91,113,330,3,8,13671
7894,3,8,637,223,8,17,48,1,17,2142
663,0,28,545,17,1,2,3,1,0,284
35868,1,20,320,6113,678,1064,893,4,5,47806
1935,1,17,546,175,7,41,52,6,22,3350
6269,0,10,912,343,19,120,64,6,23,3554
45454,0,2,648,878,87,208,294,3,4,9951
45619,2,29,243,2577,203,738,1119,3,3,26904
13279,3,30,218,642,67,117,207,2,5,4280
15488,0,24,614,840,33,252,408,2,2,5444
9425,1,22,103,1140,128,297,574,6,16,22360
5705,2,1,336,519,59,110,250,5,10,3944
6477,2,8,234,507,22,67,303,5,3,4413
17244,1,13,976,1414,46,234,366,0,19,21880
21437,1,3,899,1553,184,405,366,6,0,18654
24022,1,28,801,3164,232,641,1393,6,3,27528
23882,2,8,20,2466,200,842,1068,6,22,21080
1934,2,30,338,80,6,11,31,0,2,752
10730,0,12,21,279,28,27,40,2,9,5098
1389,1,17,44,223,22,56,92,5,21,4070
12461,2,14,456,311,14,105,185,6,0,9509
9238,2,27,461,650,33,119,199,0,3,3944
33299,3,9,749,489,53,131,300,3,18,21946
6982,2,15,229,819,84,118,259,5,0,9150
2367,1,11,450,130,11,31,27,1,15,1758
2814,1,19,662,239,28,74,80,5,18,4126
22001,1,4,544,851,81,285,327,3,19,27717
14943,0,1,604,978,48,104,440,2,20,8054
2099,1,9,238,228,24,41,88,4,21,6443
1817,2,0,944,122,8,32,49,4,17,949
18608,0,6,353,1020,33,87,158,2,1,6793
1633,2,25,89,86,5,24,22,3,5,1162
26377,1,16,362,1750,172,408,516,0,20,44712
18874,3,15,405,721,83,116,449,5,0,8376
1772,0,26,299,71,3,22,20,5,18,1145
1829,1,26,464,187,9,30,108,0,4,1445
65231,1,23,852,5411,436,2015,1580,4,1,49215
7532,1,2,680,556,57,177,106,6,0,5833
7445,2,13,998,536,52,154,141,6,15,6798
25633,2,9,137,1391,111,129,384,2,20,33589
44632,0,21,711,1425,123,493,882,6,1,18783
64531,1,6,918,10068,521,3141,4749,2,3,82209
21498,1,25,552,1736,119,249,1036,6,2,19343
7580,1,16,907,298,15,57,163,1,22,5859
1807,2,29,368,185,20,28,78,4,16,2084
23018,2,5,536,2681,107,992,1266,2,14,43884
12760,1,22,322,414,37,137,185,1,9,10884
8780,2,21,84,704,37,249,329,0,11,12586
36023,1,3,555,3762,273,1172,1025,4,11,52004
2268,2,16,880,193,10,40,66,4,19,3652
10677,1,26,205,1330,78,181,574,2,6,17747
671,2,8,852,77,4,10,12,2,9,569
9985,2,3,38,799,78,96,302,3,4,3407
1369,1,6,715,65,4,15,36,6,19,1730
2397,2,22,25,290,27,101,111,0,19,4311
2375,0,1,432,117,8,43,48,0,10,1142
16213,1,16,598,902,71,145,218,5,1,8023
21058,1,23,814,2405,189,683,1274,1,23,29676
13633,3,7,602,400,47,101,127,1,15,2675
49620,2,22,414,3831,241,849,2332,3,11,58980
7546,2,29,949,232,11,63,145,5,15,3325
5547,2,30,645,426,47,79,250,0,3,3677
30942,1,14,540,4630,211,1659,857,6,1,44378
4296,2,30,976,227,23,65,69,6,9,3416
50043,1,14,623,4768,207,1436,2876,6,12,116208
683,1,7,913,68,6,10,36,6,22,814
53037,0,15,86,2038,88,255,1195,1,18,59899
1161,2,18,238,43,4,8,18,0,14,1082
33765,2,10,971,2781,224,848,1049,6,22,27019
11752,1,1,306,1306,77,465,255,0,0,14881
74852,0,22,519,4381,186,890,2418,5,16,47936
1649,2,23,724,105,6,32,53,1,19,1874
12606,0,16,993,432,40,93,74,2,3,2765
52753,2,27,975,2516,162,411,618,2,19,57851
11606,3,25,582,249,12,73,103,5,8,6879
15389,1,15,547,1265,103,397,602,1,5,14314
18348,0,24,592,1051,71,142,221,3,2,8416
9591,2,14,624,238,10,39,62,4,21,8371
15315,2,12,988,754,33,168,179,5,1,4142
13667,1,14,335,1533,143,200,384,0,17,15275
35213,3,26,372,1470,173,519,869,5,22,17053
1197,0,3,678,41,2,10,20,4,18,694
5447,1,15,884,225,22,25,113,5,6,3772
45559,2,29,368,2170,82,282,1149,1,2,18462
33645,2,11,715,2917,187,1053,925,0,17,33648
9622,0,29,796,246,18,72,127,4,19,7125
15018,2,3,333,582,31,171,360,6,19,16712
5373,1,2,707,264,20,25,127,2,18,5385
3626,1,21,335,439,48,150,152,3,8,8841
9845,0,16,634,170,19,35,83,5,15,4496
7039,2,21,834,309,12,84,179,5,5,2463
13643,0,17,174,384,20,139,79,4,20,19645
1713,1,24,582,174,20,18,47,3,11,2796
55474,1,17,613,7724,419,1696,4563,5,5,76874
64757,2,22,807,5622,519,505,3394,2,12,77233
18467,1,27,464,2380,125,535,902,4,23,39939
12021,2,16,978,987,61,148,321,1,4,4829
6055,1,11,162,459,21,159,129,0,12,10188
25713,1,22,746,4286,458,833,1656,2,19,80351
17814,1,20,136,1527,167,404,913,3,6,43855
3162,2,23,202,351,19,116,76,3,11,5148
36774,2,3,636,2291,238,847,797,2,20,40266
26434,0,30,783,954,59,215,560,6,3,8301
45376,1,11,539,3556,138,752,1115,1,4,35375
19904,0,30,19,1038,101,101,536,5,15,10177
14756,1,25,101,1235,103,97,411,1,3,9762
8625,1,22,148,580,31,149,310,5,7,16446
40985,1,21,490,3581,188,338,2222,5,15,61050
30655,1,20,458,2181,256,412,725,3,7,55941
1194,1,19,342,138,14,10,76,5,16,2450
900,1,14,878,49,5,12,30,2,13,1283
7585,2,22,349,272,11,55,169,6,11,6540
25454,1,27,970,3354,328,379,1190,5,2,19510
65964,0,15,61,2087,102,342,793,2,19,98639
2945,2,4,716,288,33,70,83,0,1,1153
14025,1,20,475,524,18,142,155,3,12,21355
7692,1,14,727,553,34,118,211,1,20,12801
53055,1,16,808,5802,397,1834,1400,4,10,86067
28188,1,17,484,4769,496,518,2334,1,23,77404
27832,0,4,410,962,95,96,389,1,11,6915
9986,1,12,448,1349,85,119,783,6,17,24676
8537,2,18,887,1103,89,260,593,4,8,19073
5290,1,29,614,769,80,220,231,6,6,10780
1370,1,12,941,162,5,18,63,3,5,1220
30506,1,17,931,1313,134,350,667,5,23,19972
25641,0,13,830,1157,133,252,275,0,13,18284
123086,1,29,666,16536,543,6138,2635,1,17,160968
85923,2,3,607,4024,137,1167,2246,6,13,77090
12659,0,3,518,641,39,174,135,5,4,2621
22479,1,19,162,1207,45,297,695,1,19,40863
43942,1,19,523,4527,331,1694,2661,3,23,112900
28921,1,18,512,2740,261,1011,1008,3,12,94718
4762,3,12,863,154,12,36,82,2,0,1661
9482,0,11,910,267,12,56,85,3,11,3715
2574,1,6,781,452,40,96,253,3,18,11049
46703,0,24,685,3017,276,613,1643,1,9,27573
14477,3,11,15,527,60,123,95,0,23,4087
4394,0,20,509,210,9,32,89,6,4,2013
17207,1,3,670,1531,141,540,696,1,19,26337
14940,2,26,726,1672,187,371,241,6,5,9406
7151,2,1,127,143,10,46,88,5,11,2476
2308,1,1,494,171,10,37,58,6,20,4181
17201,1,4,610,783,35,227,309,3,2,7610
11519,1,22,675,931,100,163,222,2,13,19316
22697,1,9,960,2224,145,583,980,0,20,52439
11514,0,9,688,225,25,50,121,2,3,3864
29176,1,8,477,3114,331,576,1335,4,16,60753
12541,1,12,170,1446,92,490,762,2,16,30203
12846,1,6,279,1278,104,139,638,2,13,38350
31891,1,4,65,2664,86,588,691,5,14,35229
8249,3,25,237,336,18,44,119,3,6,5975
2658,1,9,858,181,17,60,39,5,3,1252
938,0,9,158,36,3,5,5,3,16,475
21605,0,5,55,1426,88,377,249,5,5,5949
15025,3,26,153,570,58,71,343,3,10,7946
18764,1,27,759,1933,99,379,1203,6,11,24593
4092,0,18,793,207,14,71,39,3,14,2840
2699,1,20,641,227,16,28,69,3,11,3038
719,1,7,349,62,3,16,12,2,10,1008
6975,1,0,422,256,29,34,140,4,16,4355
13870,1,27,741,1485,137,296,572,3,7,24865
7969,0,16,529,385,30,91,171,4,11,6466
9129,3,6,353,148,11,36,60,4,8,3320
